"","Country","Tested","Infected","Recovered","Deceased","Source last update","Apify last update","Sources"
"1","United States","","31,883,289","","569,272","11 days ago","10 days ago","LatestHistorySource"
"2","India","","17,636,307","14,556,209","197,894","","10 days ago","LatestHistorySource"
"3","Brazil","","14,369,423","","391,936","11 days ago","10 days ago","LatestHistorySource"
"4","France","","5,503,996","","","12 days ago","10 days ago","LatestHistorySource"
"5","Russia","17,803,955","4,718,854","4,343,229","106,307","10 days ago","10 days ago","LatestHistorySource"
"6","Turkey","46,153,151","4,667,281","4,121,671","38,711","12 days ago","10 days ago","LatestHistorySource"
"7","United Kingdom","","4,406,946","","150,841","11 days ago","10 days ago","LatestHistorySource"
"8","Italy","","3,971,114","3,398,763","119,539","11 days ago","10 days ago","LatestHistorySource"
"9","Spain","","3,488,469","","","11 days ago","10 days ago","LatestHistorySource"
"10","Germany","","3,310,301","","81,968","","10 days ago","LatestHistory"
"11","Poland","","2,768,034","","65,897","10 days ago","10 days ago","LatestHistorySource"
"12","Iran","15,313,657","2,417,230","1,892,229","70,070","","10 days ago","LatestHistorySource"
"13","Czech Republic","17,388,713","1,622,777","1,541,963","29,075","11 days ago","10 days ago","LatestHistory"
"14","Netherlands","","1,492,437","","17,295","","10 days ago","LatestHistory"
"15","Canada","","1,187,918","","24,024","","10 days ago","LatestHistory"
"16","Romania","7,269,119","1,047,520","975,703","27,511","11 days ago","10 days ago","LatestHistory"
"17","Philippines","","1,006,428","914,952","16,853","","10 days ago","LatestHistorySource"
"18","Belgium","12,312,900","976,088","","24,065","11 days ago","10 days ago","LatestHistorySource"
"19","Sweden","","938,343","","13,923","","10 days ago","LatestHistorySource"
"20","Portugal","","828,173","785,809","16,923","24 days ago","23 days ago","LatestHistorySource"
"21","Hungary","5,308,624","772,707","491,620","26,984","10 days ago","10 days ago","LatestHistorySource"
"22","Serbia","3,787,020","681,654","","6,257","","10 days ago","LatestHistorySource"
"23","Switzerland","","651,822","","9,971","11 days ago","10 days ago","LatestHistorySource"
"24","Austria","31,263,052","608,553","577,977","10,126","","10 days ago","LatestHistorySource"
"25","Japan","","575,368","","10,003","","10 days ago","LatestHistory"
"26","Saudi Arabia","","413,174","396,604","6,913","10 months ago","10 days ago","LatestHistorySource"
"27","Bulgaria","","399,259","","16,101","","10 days ago","LatestHistorySource"
"28","Malaysia","","395,718","369,556","1,449","11 days ago","10 days ago","LatestHistorySource"
"29","Slovakia","2,597,742","380,498","","11,572","11 days ago","10 days ago","LatestHistory"
"30","Palestine","1,722,666","320,893","293,069","3,452","10 days ago","10 days ago","LatestHistorySource"
"31","Azerbaijan","3,195,268","313,812","280,403","4,402","","10 days ago","LatestHistorySource"
"32","Slovenia","3,209,895","238,023","","4,526","10 days ago","10 days ago","LatestHistorySource"
"33","Lithuania","","235,383","213,118","3,785","19 days ago","17 days ago","LatestHistorySource"
"34","Honduras","","206,381","77,539","5,100","","10 days ago","LatestHistory"
"35","Denmark","13,495,620","198,472","187,318","2,125","3 months ago","10 days ago","LatestHistorySource"
"36","Bahrain","4,029,661","172,576","161,491","625","","10 days ago","LatestHistorySource"
"37","Nigeria","","164,756","154,963","2,062","","10 days ago","LatestHistorySource"
"38","Algeria","","121,112","84,440","3,217","","10 days ago","LatestHistorySource"
"39","Estonia","1,264,876","120,378","","1,145","","10 days ago","LatestHistory"
"40","South Korea","8,721,609","119,898","","1,820","10 days ago","10 days ago","LatestHistorySource"
"41","Norway","5,129,127","110,611","","737","12 days ago","10 days ago","LatestHistorySource"
"42","China","160,000,000","90,610","85,658","4,636","","10 days ago","LatestHistorySource"
"43","Finland","4,388,700","85,937","","906","","10 days ago","LatestHistorySource"
"44","Luxembourg","2,606,391","66,007","","790","14 days ago","10 days ago","LatestHistorySource"
"45","Singapore","","61,051","60,682","30","","10 days ago","LatestHistorySource"
"46","Vietnam","","2,852","2,516","35","11 days ago","10 days ago","LatestHistorySource"
"47","Pakistan","","","","","20 years ago","10 days ago","LatestHistorySource"
"48","Croatia","","","","","","10 days ago","LatestHistory"
